hotelid,hotelname,hotelstars,lat,lon,address
63,Paguera Beach,4.0,,,
64,Maria Eugenia Pension,5.0,,,
65,Hotel de Mar Gran Melia,5.0,,,
66,Flor Los Almendros Hotel,3.0,,,
67,Gran Meliá Victoria,5.0,39.5636131,2.6265825,"Gran Meliá Victòria, 21, Avinguda de Joan Miró, El Terreno, Palma, Illes Balears, 07014, España"
68,Miranda,2.0,39.5984285,2.6287524,"Miranda, Carrer d'Asival, Can Valero, es Secar de la Real, Palma, Illes Balears, 07011, España"
69,Hotel Palmira Paradise & Suites,4.0,,,
70,allsun Hotel Bella Paguera,5.0,,,
71,allsun Hotel Cormoran,5.0,,,
72,Sol Wave House All Suites,4.0,,,
73,Zafiro Rey Don Jaime,4.0,,,
74,Grupotel Aguait Resort & Spa,4.0,,,
75,Prinsotel Alba,4.0,,,
76,Alcina,1.0,39.5767538,2.6734384,"Plaça del Fra Joan Alcina, Son Gotleu, Palma, Illes Balears, España"
77,Alondra,3.0,,,
78,Amoros,3.0,39.5541825,2.6182107,"Carrer del Gabriel Tous Amorós, es Corb Marí, Portopí, Palma, Illes Balears, 07014, España"
79,Globales América,4.0,39.4590017,3.2795691,"Globales América, Carrer Formentor, Cales de Mallorca, Manacor, Llevant, Illes Balears, 07689, España"
80,Gavimar Ariel,3.0,,,
81,Protur Atalaya Apartamentos,3.0,,,
82,allsun Hotel Bahia del Este,5.0,,,
83,Hotel Bella Mar,3.0,,,
84,Bella Playa Hotel & Spa,4.0,,,
85,Hotel Cala Gat,4.0,,,
86,Guya Wave Hotel,3.0,,,
87,THB Cala Lliteras,4.0,,,
88,Club Hotel Cala Ratjada,3.0,,,
89,Baviera,3.0,39.5795005,2.6525457,"Baviera, Carrer del 31 de desembre, Canavall, Palma, Illes Balears, 07003, España"
90,Capricho,3.0,41.1146535,1.2461551,"El Capricho, 16, Carrer Mallorca, Nou Eixample Sud, Tarragona, Tarragonès, Tarragona, Catalunya, 43005, España"
91,Singular Cala Ratjada,2.0,,,
92,Clumba,3.0,,,
93,Diamant Hotels,3.0,,,
94,THB Dos Playas,3.0,,,
95,Paradise Residencial,3.0,,,
96,Hostal Gami                   ,1.0,,,
97,THB Guya Playa,4.0,,,
98,allsun Hotel Lux de Mar,4.0,,,
99,Mar Azul Pur Estil Hotel & Spa,4.0,,,
100,Bell Port,3.0,,,
101,Parque Nereida Suites Hotel,3.0,,,
102,HSM Regana,4.0,,,
103,Quijote Park,3.0,,,
104,Marbel,2.0,39.5369696,2.7169558,"Marbel, Avinguda Central, Can Pastilla, Palma, Illes Balears, 07610, España"
105,Hotel & Spa S'Entrador Playa ,4.0,,,
106,Serrano Palace,5.0,,,
107,Protur Turó Pins Hotel,4.0,,,
108,Chevy Hotel & Suites,3.0,,,
109,Vistasol,2.0,,,
110,D-H Anba Romani Hotel,3.0,,,
111,Hipotels Bahía Grande,4.0,,,
112,Biniamar,3.0,39.5821452,2.6813662,"Biniamar, Carrer de Biniamar, Es Rafal, Palma, Illes Balears, 07008, España"
113,allsun Hotel Borneo,5.0,,,
114,Hipotels Cala Millor Park,4.0,,,
115,Marins Beach Club,4.0,,,
116,CM Castell de Mar,4.0,,,
117,Aparthotel Ciudad Laurel,3.0,,,
118,Hipotels Don Juan,3.0,,,
119,Hipotels Dunas Cala Millor,4.0,,,
120,Hipotels Flamenco,4.0,,,
121,Hotel Girasol ,4.0,39.6672701,3.0737561,"Casa Girasol, carrer Sant Rafel, Maria de la Salut, Pla de Mallorca, Illes Balears, 07519, España"
122,Kyrat Amàrac,4.0,,,
123,Hipotels Hipocampo,4.0,,,
124,Hipotels Hipocampo Playa,4.0,,,
125,BlueSea Cala Millor,3.0,,,
126,Hoteles & Apartamentos La Santa Maria,3.0,,,
127,Hotel Marins Playa,4.0,,,
128,Hipotels Mercedes,3.0,,,
129,R2 Cala Millor Beach Apartments,3.0,,,
130,Hotel Ilusion Moreyo,1.0,,,
131,Hotel Apartamentos Morito,3.0,,,
132,CM Playa del Moro,4.0,,,
133,Sabina Playa,4.0,,,
134,Hipotels Said,4.0,,,
135,allsun Hotel Sumba,5.0,,,
136,Ilusion Vista Blava,3.0,,,
137,Voramar,3.0,39.5477987,2.6966668,"Voramar, Carrer de Josep Malberti, es Coll d'en Rabassa, Palma, Illes Balears, 07007, España"
138,Inturotel Cala Azul,3.0,,,
139,Blue Sea Club Martha´s Resort,4.0,,,
140,Inturotel Esmeralda Park,3.0,,,
141,Gavimar La Mirada Club Resort,3.0,,,
142,Barceló Illetas Albatros,4.0,,,
143,Cupidor,3.0,,,
144,Hotel Morlans,5.0,,,
145,Hotel Diamante,2.0,,,
146,FERGUS Style Cala Blanca Suites,5.0,,,
147,Hostal Neptuno,3.0,,,
148,Be Live Adults Only Marivent,4.0,,,
149,FERGUS Style Tobago,5.0,,,
150,Villa Cati,2.0,,,
151,JS Yate,4.0,,,
152,Hotel Morlans Garden,3.0,,,
153,allsun Hotel Paguera ,4.0,,,
154,Sol Palmanova,4.0,,,
155,Sol Guadalupe,4.0,,,
156,Grupotel Acapulco Playa,4.0,39.5220968,2.7394367,"Acapulco Playa, 2, Carrer de la Costa Brava, Les Meravelles, Es Pil·larí, Illes Balears, 07610, España"
157,Indico Rock,4.0,39.5091838,2.7549847,"Indico Rock, Carrer Antas de Ulla, s'Arenal, Son Verí, Ses Cadenes, Illes Balears, 07600, España"
158,HM Balanguera Beach,4.0,,,
159,BQ Hotel Amfora Beach Hotel,4.0,,,
160,Hotel BQ Apolo,4.0,,,
161,Hotel Aya,4.0,39.5108271,2.7497161,"AYA Seahotel – Adults Only, carretera de s'Arenal, Les Meravelles, Palma, Illes Balears, 07600, España"
162,HM Ayron Park,5.0,,,
163,azuline Hotel Bahamas & Bahamas II,3.0,,,
164,Balear,3.0,39.5670113,2.6286841,"Balear, Carrer de Federico García Lorca, Son Armadans, Palma, Illes Balears, 07014, España"
165,Ipanema Beach,3.0,,,
166,Hotel Vibra Palma Cactus,3.0,39.5242469,2.7416272,"Hotel Vibra Palma Cactus, Carrer de Veracruz, Les Meravelles, Es Pil·larí, Illes Balears, 07610, España"
167,tent Capi Playa,3.0,39.5226243,2.7400390,"tent Capi Playa, 4, Carrer de la Costa Brava, Les Meravelles, Es Pil·larí, Illes Balears, 07610, España"
168,BQ Carmen Playa Hotel,3.0,,,
169,Villa Chiquita,4.0,,,
170,Nura Condor,3.0,39.5220543,2.7450412,"Cóndor, Passeig Vicenç Ferrer, Les Meravelles, Es Pil·larí, Illes Balears, 07600, España"
171,Hotel Cosmopolitan,4.0,39.5234516,2.7461267,"Cosmopolitan, carrer de la Mar Blanca, Les Meravelles, Es Pil·larí, Illes Balears, 07600, España"
172,allsun Hotel Cristobal Colon,4.0,,,
173,Universal Grand León & Spa,5.0,,,
174,Don Miguel Playa Hotel,3.0,,,
175,HM Dunas Blancas,4.0,,,
176,THB El Cid,4.0,39.5347692,2.7223584,"El Cid, 2, Carrer del Vaixell, Can Pastilla, Palma, Illes Balears, 07610, España"
177,El Coto,4.0,,,
178,Hotel Príncipe,4.0,39.5216255,2.7422170,"Príncipe, Avinguda de Son Rigo, Les Meravelles, Es Pil·larí, Illes Balears, 07600, España"
179,allsun Hotel Marena Beach,4.0,,,
180,Apartments Es Trenc,3.0,,,
181,MySeaHouse Hotel Flamingo,5.0,,,
182,Aparthotel Fontanellas Playa,4.0,39.5320552,2.7267637,"Aparthotel Fontanellas Playa, carrer de la Caravel·la, Can Pastilla, Palma, Illes Balears, 07610, España"
183,Pure Salt Garonda,5.0,,,
184,tent Playa de Palma,3.0,39.5097641,2.7552083,"tent Playa de Palma, carrer dels Tamarells, s'Arenal, Son Verí, Palma, Illes Balears, 07600, España"
185,HSM Golden Playa,4.0,39.5286334,2.7317850,"HSM Golden playa, 14, Carrer de Marbella, Les Meravelles, Palma, Illes Balears, 07610, España"
186,HM Gran Fiesta,4.0,39.5253134,2.7358325,"Gran Fiesta, Carrer de Marbella, Les Meravelles, Palma, Illes Balears, 07610, España"
187,Hispania,4.0,39.5104132,2.7501774,"Hispania, 3, carrer Aiguamarina, s'Arenal, Son Verí, Palma, Illes Balears, 07600, España"
188,Hotel Foners,3.0,39.5175853,2.7461338,"Foners, carrer de les Canyes, Les Meravelles, Ses Cadenes, Illes Balears, 07600, España"
189,Ipanema Park,3.0,,,
190,Isla de Cabrera Aparthotel,4.0,,,
191,Jade,3.0,,,
192,Kilimanjaro,3.0,,,
193,allsun Hotel Kontiki Playa,4.0,,,
194,Cook's Club Palma Beach,3.0,,,
195,Leblon,1.0,,,
196,Leman,4.0,39.5211536,2.7414957,"Léman, Avinguda de Son Rigo, Les Meravelles, Es Pil·larí, Illes Balears, 07600, España"
197,Alua Leo,4.0,39.5342151,2.7243853,"Alua Leo, 12, Carrer Manuela de los Herreros, Can Pastilla, Palma, Illes Balears, 07610, España"
198,Seramar Luna Park,3.0,,,
199,Hotel Luxor,4.0,39.5228930,2.7430953,"Luxor, Avinguda de Son Rigo, Les Meravelles, Es Pil·larí, Illes Balears, 07600, España"
200,AluaSoul Palma,4.0,39.5370845,2.7096824,"AluaSoul Palma, 40, carrer d'Eaktai Ahn, Can Pastilla, Palma, Illes Balears, 07610, España"
201,Manaus,3.0,,,
202,Hotel Marbel,3.0,39.5369696,2.7169558,"Marbel, carrer de la Singladura, Can Pastilla, Palma, Illes Balears, 07610, España"
203,THB Maria Isabel,4.0,39.5237944,2.7419804,"Maria Isabel, 19, Carrer de Vilagarcía de Arousa, Les Meravelles, Es Pil·larí, Illes Balears, 07610, España"
204,Martorell,3.0,39.5536688,2.6918628,"Ciutat Jardí, Palma, Illes Balears, 07007, España"
205,BLUESEA Mediodia,3.0,,,
206,Hotel Marina Playa,3.0,,,
207,Metropolitan Playa Hotel,5.0,39.5229084,2.7464158,"Metropolitan Playa, Passeig Vicenç Ferrer, Les Meravelles, Es Pil·larí, Illes Balears, 07600, España"
208,whala!fun,4.0,,,
209,Hotel Negresco,4.0,39.5258394,2.7351508,"Negresco, Carrer de Neopàtria, Les Meravelles, Palma, Illes Balears, 07610, España"
210,Universal Hotel Neptuno,4.0,39.5142994,2.7471018,"Universal Hotel Neptuno – Adults Only, 34, Carrer del Llaüt, Les Meravelles, Palma, Illes Balears, 07600, España"
211,Niagara,4.0,39.5173607,2.7463822,"Niàgara, carrer de les Canyes, Les Meravelles, Ses Cadenes, Illes Balears, 07600, España"
212,Hotel Oleander,3.0,39.5258551,2.7376360,"Oleander, Carrer d'Atenes, Les Meravelles, Es Pil·larí, Illes Balears, 07610, España"
213,MLL Mediterranean Bay,4.0,,,
214,Grupotel Orient,4.0,39.5144277,2.7530380,"Orient, carrer de Miquel Estelrich, s'Arenal, Ses Cadenes, Illes Balears, 07600, España"
215,Pabisa Orlando  ,3.0,39.5183251,2.7474035,"Pabisa Orlando, 15, carrer de les Canyes, Les Meravelles, Ses Cadenes, Illes Balears, 07610, España"
216,JS Palma Stay,4.0,,,
217,Paradiso Garden Hotel,4.0,39.5121511,2.7511210,"Paradiso Garden, carrer de Montemar, s'Arenal, Ses Cadenes, Illes Balears, 07600, España"
218,allsun Hotel Pil·larí Playa,5.0,,,
219,Hotel Playa Golf,4.0,39.5162076,2.7456738,"Playa Golf, Carrer d'Agustí Catany, Les Meravelles, Ses Cadenes, Illes Balears, 07600, España"
220,Planet One Hotel,3.0,39.5079159,2.7516591,"Planet One Hotel, 26, carrer del Germà Bianor, s'Arenal, Son Verí, Palma, Illes Balears, 07600, España"
221,HSM Reina del Mar,3.0,,,
222,HSM Son Veri,3.0,,,
223,Pabisa Bali Tower,4.0,,,
224,Hotel Riu Bravo,4.0,39.5156012,2.7476776,"Hotel Riu Bravo, 4, Carrer de la Missió de San Diego, Les Meravelles, Ses Cadenes, Illes Balears, 07610, España"
225,Hotel BG Caballero,4.0,39.5272576,2.7360243,"Caballero, Carrer de la Fotja, Les Meravelles, Palma, Illes Balears, 07610, España"
226,Hotel Pabisa Chico,4.0,39.5199533,2.7475440,"Pabisa Chico, Camí de les Meravelles, Les Meravelles, Es Pil·larí, Illes Balears, 07610, España"
227,Hotel Riu Concordia,4.0,39.5179119,2.7456647,"Riu Concordia, 8, Camí de les Meravelles, Les Meravelles, Palma, Illes Balears, 07610, España"
228,Hotel Riu Festival,4.0,39.5192308,2.7463802,"Riu Festival, 7, Camí de les Meravelles, Les Meravelles, Palma, Illes Balears, 07610, España"
229,Obelisco,4.0,39.5185913,2.7467268,"Obelisco, Camí de les Meravelles, Les Meravelles, Es Pil·larí, Illes Balears, 07600, España"
230,Hotel Riu Playa Park,3.0,39.5190213,2.7482825,"Hotel Riu Playa Park, 15, Carrer del Pare Bartomeu Salvà, Les Meravelles, Palma, Illes Balears, 07610, España"
231,Hotel Riu San Francisco,4.0,39.5169348,2.7452908,"Riu San Francisco, 24, Carrer del Llaüt, Les Meravelles, Ses Cadenes, Illes Balears, 07610, España"
232,Pabisa Sofia,5.0,39.5195749,2.7460044,"Pabisa Sofía, 14, Carrer de Sant Ramon Nonat, Les Meravelles, Es Pil·larí, Illes Balears, 07610, España"
233,Riutort,3.0,39.5079995,2.7537668,"Riutort, Carrer Bartomeu Calafell, s'Arenal, Son Verí, Ses Cadenes, Illes Balears, 07600, España"
234,allsun Hotel Riviera Playa,4.0,,,
235,Iberostar Cristina,4.0,39.5240998,2.7399083,"Iberostar Waves Cristina, Carrer de Bartomeu Xamena, Les Meravelles, Palma, Illes Balears, 07610, España"
236,Iberostar Bahía de Palma,4.0,39.5242379,2.7369872,"Iberostar Waves Bahía de Palma, 32, Carrer de Marbella, Les Meravelles, Palma, Illes Balears, 07610, España"
237,Iberostar Selection Playa de Palma,5.0,39.5231754,2.7382317,"Iberostar Selection Playa de Palma, 36, Carrer de Marbella, Les Meravelles, Palma, Illes Balears, 07610, España"
238,MLL Caribbean Bay,0.0,,,
239,Cassandra,2.0,,,
240,Hotel Java,4.0,39.5336153,2.7262974,"Hotel Java (Can Pastilla), Carrer Manuela de los Herreros, Can Pastilla, Palma, Illes Balears, 07610, España"
241,Hotel Timor,4.0,39.5126231,2.7507137,"Timor, Carrer dels Trobadors, s'Arenal, Ses Cadenes, Illes Balears, 07600, España"
242,HM Tropical,4.0,,,
243,THB Sur Mallorca,4.0,,,
244,Grupotel Taurus Park,4.0,39.5132208,2.7528641,"Taurus Park, 7, Avinguda d'Amèrica, s'Arenal, Son Verí, Ses Cadenes, Illes Balears, 07600, España"
245,Houm Nets Hotel,2.0,39.5229546,2.7419771,"Nets, Carrer de la Mar Bàltica, Les Meravelles, Es Pil·larí, Illes Balears, 07600, España"
246,BlueSea Arenal Tower,3.0,,,
247,Torre Azul,4.0,,,
248,Tres Torres,2.0,39.5138723,2.7505204,"Cabot Tres Torres Apartamentos, 5, Carrer dels Trobadors, s'Arenal, Palma, Illes Balears, 07600, España"
249,HSM Venus Playa,3.0,,,
250,Vista Odin,3.0,39.5224348,2.7467194,"Vista Odín, Carrer de la Mar d'Aral, Les Meravelles, Palma, Illes Balears, 07610, España"
251,Best Delta,4.0,,,
252,Globales Maioris,4.0,,,
253,BQ Belvedere Hotel,3.0,,,
254,Club Cala Romani ,3.0,,,
255,Beach Club Font de Sa Cala,4.0,,,
256,Playa Blanca Hotel,3.0,,,
257,Iberostar Club Cala Barca,4.0,,,
258,Hotel Cala d’Or Gardens Mallorca,3.0,,,
259,Hotel Cala Ferrera,3.0,,,
260,Gavimar Cala Gran Costa del Sur,3.0,,,
261,Hotel Club Cala Marsal,4.0,,,
262,Zafiro Cala Mesquida,4.0,,,
263,HSM Calas Park,3.0,39.4603226,3.2803735,"HSM Calas Park, 3, Carrer Cala Romanguera, Cales de Mallorca, Manacor, Llevant, Illes Balears, 07689, España"
264,Canyamel Park Hotel & Appartements,4.0,,,
265,Universal Apartamentos Laguna Garden,3.0,,,
266,Iberostar Pinos Park,4.0,,,
267,BLUESEA Ses Cases d’Or,3.0,,,
268,Pierre & Vacances Apartamentos Mallorca Cecilia,3.0,,,
269,Insotel Cala Mandía Resort & Spa,4.0,,,
270,Ferrer Lime Isabel,3.0,,,
271,Condemar,1.0,,,
272,JS Portocolom Suites,4.0,,,
273,Hotel Club Es Talaial,3.0,,,
274,HYB Eurocalas,3.0,39.4679485,3.2752296,"HYB Eurocalas, Carrer Cala Antena, Cales de Mallorca, Manacor, Llevant, Illes Balears, 07689, España"
275,Hipotels Eurotel Punta Rotja,4.0,,,
276,THB Felip,4.0,,,
277,MarSenses Ferrera Blanca,4.0,,,
278,Protur Floriana Resort Aparthotel,3.0,,,
279,Alua Suites Las Rocas,4.0,,,
280,Lliteras Appartements,2.0,,,
281,Hotel La Santa Maria Playa,3.0,,,
282,Protur Vista Badía Aparthotel,4.0,,,
283,Hotel Na Taconera Sport & Relax,3.0,,,
284,Hotel Baluma Porto Petro,3.0,,,
285,Peymar,3.0,,,
286,Pinomar,2.0,,,
287,Pinos Playa,3.0,,,
288,Playa Dorada,3.0,,,
289,Inturotel Esmeralda Park,3.0,,,
290,Playamar Hotel & Apartamentos,2.0,,,
291,Playa Mondrago,3.0,,,
292,Playa Moreya,5.0,,,
293,Barceló Aguamarina,4.0,,,
294,Hotel Palia Puerto del Sol,3.0,,,
295,MiM Mallorca,4.0,,,
296,Blau Punta Reina Resort,4.0,,,
297,Protur Sa Coma Playa Hotel & Spa,4.0,,,
298,THB Sa Coma Platja,4.0,,,
299,Hipotels Mediterráneo,4.0,,,
300,Sabina Hotel & Suites,4.0,,,
301,Globales Samoa,3.0,39.4604770,3.2780093,"Globales Samoa, Carrer Formentor, Cales de Mallorca, Manacor, Llevant, Illes Balears, 07689, España"
302,Sinfony Apartamentos,5.0,,,
303,Monsuau Cala D´Or Boutique Hotel,4.0,,,
304,Sentido Fido Tucan,4.0,,,
305,Apartamentos Massanet,5.0,,,
306,Hotel Mariant,3.0,39.5692699,3.3726893,"Mariant, 11, Carrer Tramuntana, s'Illot, Sant Llorenç des Cardassar, Llevant, Illes Balears, 07560, España"
307,Hotel Mariant Park,4.0,39.5699600,3.3719058,"Hotel Mariant Park, 178, Avinguda de les Savines, s'Illot, Sant Llorenç des Cardassar, Llevant, Illes Balears, 07560, España"
308,Oasis d'Or,2.0,,,
309,Inturotel Cala Esmeralda Beach Hotel & Spa,4.0,,,
310,Marfil Playa,4.0,,,
311,Parque Mar,3.0,,,
312,ROBINSON Cala Serena,4.0,,,
313,Boutique Hostal Ventura,2.0,,,
314,R2 Verónica Beach Hotel,3.0,,,
315,Apartamentos Sureda,2.0,,,
316,HSM Canarios Park,3.0,39.4699600,3.2752629,"HSM Canarios Park, 23, Carrer Cala Antena, Cales de Mallorca, Manacor, Llevant, Illes Balears, 07689, España"
317,Sol y Mar,3.0,,,
318,S'Olivera Apartments,2.0,,,
319,Iberostar Selection Albufera Park,4.0,39.7874714,3.1277142,"Iberostar Selection Albufera Park, 1, carrer de les Dunes, Muro, Pla de Mallorca, Illes Balears, 07458, España"
320,Iberostar Selection Albufera Playa,4.0,39.7870066,3.1286764,"Iberostar Selection Albufera Playa, Avinguda de les Platges de Muro, Alcúdia, Pla de Mallorca, Illes Balears, 07458, España"
321,Eix Alcudia Hotel,4.0,,,
322,Alcudia Beach Aparthotel,3.0,,,
323,Innside by Melia Alcudia,4.0,,,
324,Iberostar Alcudia Park,4.0,39.8118429,3.1163385,"Iberostar Waves Alcudia Park, 30, Avinguda de s'Albufera, Platja de Muro, Muro, Pla de Mallorca, Illes Balears, 07458, España"
325,Grupotel Alcudia Suite,4.0,,,
326,BQ Alcudia Sun Village ,3.0,,,
327,Grupotel Amapola,3.0,39.8117776,3.1107286,"Amapola, circuit del Llac, Platja de Muro, Muro, Pla de Mallorca, Illes Balears, 07408, España"
328,Hotel Astoria Playa,4.0,,,
329,Bahia de Alcudia Hotel & Spa ,4.0,,,
330,Bahia Pollensa,3.0,,,
331,Es Bauló Petit Hotel,4.0,39.7595560,3.1591904,"Es Bauló, 28, Avenida Diagonal, Can Picafort, Santa Margalida, Pla de Mallorca, Illes Balears, 07458, España"
332,BelleVue Club,3.0,,,
333,Alua Boccaccio,4.0,,,
334,Cala Sant Vicenç,5.0,39.5712988,2.6270131,"Passatge de la Cala de Sant Vicenç, Son Armadans, Palma, Illes Balears, 07014, España"
335,JS Sol de Can Picafort,3.0,39.7675169,3.1514641,"Sol, Carrer Arenal, Can Picafort, Santa Margalida, Pla de Mallorca, Illes Balears, 07450, España"
336,Capri,3.0,,,
337,Carlos V Apartments,5.0,,,
338,Iberostar Ciudad Blanca,4.0,,,
339,BQ Can Picafort Hotel,4.0,39.7668463,3.1503346,"BQ Can Picafort, 24, Carrer Arenal, Can Picafort, Santa Margalida, Pla de Mallorca, Illes Balears, 07458, España"
340,Ferrer Concord Hotel & Spa,4.0,39.7597483,3.1689414,"Ferrer Concord Hotel & Spa, 95, Carrer Isaac Peral, Can Picafort, Santa Margalida, Pla de Mallorca, Illes Balears, 07458, España"
341,Globales Condes de Alcúdia,3.0,,,
342,Hotel Condesa,4.0,,,
343,Hotel Hoposa Daina,4.0,,,
344,BQ Delfín Azul Hotel,4.0,,,
345,Olive Beach Apartamentos,2.0,,,
346,Globales Don Pedro,4.0,,,
347,VIVA Eden Lago,4.0,,,
348,allsun Hotel Eden Alcudia,4.0,,,
349,Universal Aparthotel Elisa,4.0,39.8132579,3.1110858,"Universal Aparthotel Elisa, 1, circuit del Llac, Platja de Muro, Muro, Pla de Mallorca, Illes Balears, 07458, España"
350,Hotel Es Molí,4.0,,,
351,Hotel Es Port,4.0,,,
352,Exagon Park,4.0,39.7559975,3.1656275,"Exagon Park, Ronda del Torrent, Son Bauló, Santa Margalida, Pla de Mallorca, Illes Balears, 07450, España"
353,Grupotel Farrutx,4.0,39.7683744,3.1482446,"Farrutx, Carrer Maria Antònia Salvà, Can Picafort, Santa Margalida, Pla de Mallorca, Illes Balears, 07450, España"
354,Flora,3.0,,,
355,Galaxia Boutique Hotel,1.0,,,
356,FERGUS Style Soller Beach,4.0,,,
357,VIVA Golf,5.0,,,
358,THB Gran Bahía,4.0,,,
359,THB Gran Playa,4.0,,,
360,Habitat Apartments,3.0,,,
361,Illa d'Or Hotel,4.0,,,
362,Ivory Playa,3.0,,,
363,Ferrer Janeiro Hotel & Spa,4.0,39.7597029,3.1671627,"Ferrer Janeiro Hotel & Spa, 4, Avinguda Diagonal, Can Picafort, Santa Margalida, Pla de Mallorca, Illes Balears, 07458, España"
364,Zafiro Bahía,4.0,39.7885747,3.1274157,"Zafiro Bahía, carrer de les Dunes, Muro, Pla de Mallorca, Illes Balears, 07458, España"
365,La Residencia,5.0,39.7639800,3.1597206,"Carrer de la Residència, Son Bauló, Santa Margalida, Pla de Mallorca, Illes Balears, 07450, España"
366,EIX Lagotel Holiday Resort,4.0,,,
367,Hotel Las Gaviotas Suites Hotel,4.0,,,
368,L'Hermitage Hotel & Spa,4.0,,,
369,Grupotel Los Principes & Spa,4.0,,,
370,Prinsotel Mal Pas,4.0,,,
371,Aparthotel Maracaibo,3.0,,,
372,Pure Salt Port de Sóller,4.0,,,
373,Alcudia Port Suites,5.0,,,
374,Grupotel Maritimo,4.0,,,
375,Ilusion Markus & Spa,3.0,,,
376,Miramar,2.0,39.7660175,3.1555545,"Miramar, 1, Passeig de l'Enginyer Antoni Garau, Can Picafort, Santa Margalida, Pla de Mallorca, Illes Balears, 07458, España"
377,Nordeste Playa,3.0,39.7667887,3.1519194,"Nordeste Playa, 10, Via França, Can Picafort, Santa Margalida, Pla de Mallorca, Illes Balears, 07458, España"
378,JS Miramar,3.0,,,
379,Hotel Niu,4.0,,,
380,Grupotel Molins,5.0,,,
